TITULO,PRECIO,IMAGEN,DESCRIPCION,AREA,HABITACIONES,BANIO,LINK
"Casa en  Sabanilla & Calle Tercera, Quito, Ecuador",1100 ,https://img.resemmedia.com/eyJidWNrZXQiOiJwcmQtbGlmdWxsY29ubmVjdC1iYWNrZW5kLWIyYi1pbWFnZXMiLCJrZXkiOiJwcm9wZXJ0aWVzLzJmZGRlODVmLTgzYmEtNDdiMy04YWJmLTAzN2VkYTQ0MzliOS80ZWVhZTNmZi02MDg5LTRiZjMtODRkYi1lZWVkMjI1NmVmMzMuanBnIiwiYnJhbmQiOiJSRVNFTSIsImVkaXRzIjp7InJlc2l6ZSI6eyJ3aWR0aCI6MzU0LCJoZWlnaHQiOjI0MCwiZml0IjoiY292ZXIifX19,"Arriendo casa Independiente con amplio terreno, ideal para familias numerosas, guarderias, centros médicos, hogar de ancianos...",364,6,3,https://www.icasas.ec/propiedad/8440-8b45-2fdde8e5-37eda443a3f-4839
"Departamento en  Pomasqui, Quito, Ecuador",170 ,https://images.proppit.com/properties/18b18200-72ca-11ed-8c1a-4fc05287a854/0e5f1268-73a1-4c18-8e9e-32fd338d3f90.bin,"Arriendo Mini Departamento en Pomasqui 

* Área total 70 m²

Ubicado en 3er piso

* Sala y comedor con piso flotante 
* Cocina...",70,1,1,https://www.icasas.ec/propiedad/7350-8ca0-18b18286-4fc05287a8da-1273
"Departamento en  Centro Histórico, Quito",440 ,https://img.resemmedia.com/eyJidWNrZXQiOiJwcmQtbGlmdWxsY29ubmVjdC1iYWNrZW5kLWIyYi1pbWFnZXMiLCJrZXkiOiJwcm9wZXJ0aWVzLzgxOTgxMjQ0LWZkYmItNDU0ZS04NTE5LWJjNWMyYzRmNzUwMS82ZDA1ZGVkNy0wYmUxLTQyZDItOTA5Mi1iNDIxODM0ZTczMjMuanBnIiwiYnJhbmQiOiJSRVNFTSIsImVkaXRzIjp7InJlc2l6ZSI6eyJ3aWR0aCI6MzU0LCJoZWlnaHQiOjI0MCwiZml0IjoiY292ZXIifX19,"ALQUILO HERMOSO DEPARTAMENTO AMOBLADO (MUEBLES A ESTRENAR), UBICADO EN CASA PATRIMONIAL EN EL CENTRO HISTORICO SAN BLAS CALLES...",80,3,1,https://www.icasas.ec/propiedad/fe41-859f-819812ca-bc5c2c4f7587-45d4
"Casa en  Vasco De Contreras & Mañosca, Quito, Ecuador",1800 ,https://img.resemmedia.com/eyJidWNrZXQiOiJwcmQtbGlmdWxsY29ubmVjdC1iYWNrZW5kLWIyYi1pbWFnZXMiLCJrZXkiOiJwcm9wZXJ0aWVzLzJmODMzMGI3LWQ0NDktNDVlNC04MTlmLTRiMTE3ZjRmMzNmZi8yNGE5ZmRjZC1hYjdiLTRiMGEtYjZlZi02NjhlMzc3ZjA5MGQuanBnIiwiYnJhbmQiOiJSRVNFTSIsImVkaXRzIjp7InJlc2l6ZSI6eyJ3aWR0aCI6MzU0LCJoZWlnaHQiOjI0MCwiZml0IjoiY292ZXIifX19,"AMPLIA CASA EN RENTA IDEAL PARA NEGOCIO.
Se pude usar para oficinas, Geriátrico, ONG, Centros de capacitación, Empresas de...",230,5,3,https://www.icasas.ec/propiedad/d4cf-8225-2f83313d-4b117f4f3485-466a
"Departamento en  Cochapamba, Quito",1080 ,https://img.resemmedia.com/eyJidWNrZXQiOiJwcmQtbGlmdWxsY29ubmVjdC1iYWNrZW5kLWIyYi1pbWFnZXMiLCJrZXkiOiJwcm9wZXJ0aWVzLzdhNmU5ZGUzLWE1ZjYtNDU3ZC04NWJhLTU0MWNhYzY4YjNhYi80ODlmYjZjMS04ODRhLTQ4MTEtYmYwMC1jNDgxYTg3MGNhMDcuanBnIiwiYnJhbmQiOiJSRVNFTSIsImVkaXRzIjp7InJlc2l6ZSI6eyJ3aWR0aCI6MzU0LCJoZWlnaHQiOjI0MCwiZml0IjoiY292ZXIifX19,"ALQUILO HERMOSO DEPARTAMENTO SECTOR EL BOSQUE 242m²

- 2 DORMITORIOS CON BAÑO COMPLETO CADA/UNO Y CLOSETS AMPLIOS 
- 1 DORMITORIO...",242,4,4,https://www.icasas.ec/propiedad/a67c-8640-7a6e9e69-541cac68b431-4603
"Departamento en  San Isidro Del Inca, Quito",900 ,https://images.proppit.com/properties/13164c20-7001-11ed-b087-b7e31db1556e/8c3e1995-bc0d-4390-89b4-658da70efdac.bin,"DEPARTAMENTO DE RENTA/VENTA QUITO TENIS
Primer piso alto
Área total 120m2
Cubierta 98m2
Terraza 25m2
- Sala, comedor, cocina...",120,2,2,https://www.icasas.ec/propiedad/7087-b10d-13164ca6-b7e31db155f4-1273
"Departamento en  Av. De Los Shyris, Quito, Ecuador",960 ,https://images.proppit.com/properties/84770650-92cc-11ed-8143-3990391fbbaf/69ce4caa-5e6d-4185-8163-903d336e64f8.bin,"HERMOSO DEPARTAMENTO LA CAROLINA

PISO 14
Área 120m.
- Dormitorio master con closets y balcón.
- 2 habitaciones 
- 2 baños...",120,3,3,https://www.icasas.ec/propiedad/9352-81c9-847706d6-3990391fbc35-1273
"Departamento en  Calle Leónidas Plaza 1-115, Quito, Ecu",350 ,https://images.proppit.com/properties/e7dfebf0-8280-11ed-8399-1fe5cb1cd5cc/6d1c81d6-cef4-4003-b3c4-c4eff10f36c3.bin,"Arriendo Departamento cerca U. Católica 

Leónidas Plaza y Vicente Ramón Roca.

* Área 90 m²
* Cómoda sala y comedor
* Cocina...",90,2,2,https://www.icasas.ec/propiedad/8306-841f-e7dfec76-1fe5cb1cd652-1273
"Casa en  Itchimbía, Quito",6000 ,https://img.resemmedia.com/eyJidWNrZXQiOiJwcmQtbGlmdWxsY29ubmVjdC1iYWNrZW5kLWIyYi1pbWFnZXMiLCJrZXkiOiJwcm9wZXJ0aWVzL2ZhNDRlYjQ3LTUwYmYtNDEwNi04YTdjLTkzZmY0YTRkOTAxZS8xNDI1NTBkMS0yYmFlLTQwYjAtOWI2ZC01YjYyMGZhN2MyNDUuanBnIiwiYnJhbmQiOiJSRVNFTSIsImVkaXRzIjp7InJlc2l6ZSI6eyJ3aWR0aCI6MzU0LCJoZWlnaHQiOjI0MCwiZml0IjoiY292ZXIifX19,"R11-CB003 Hermosa Casa en RENTA con Piscina 
Miravalle 
Dentro se urbanización 

Area de construcción 656 m2
Area de Terreno...",656,4,4,https://www.icasas.ec/propiedad/5145-8b02-fa44ebcd-93ff4a4d90a4-418c
"Casa en  Calle Juan José Izurieta, Conocoto, Quito, Ecu",740 ,https://img.resemmedia.com/eyJidWNrZXQiOiJwcmQtbGlmdWxsY29ubmVjdC1iYWNrZW5kLWIyYi1pbWFnZXMiLCJrZXkiOiJwcm9wZXJ0aWVzLzAzMjE0NmYxLWRlMTItNDQ5Ny05Y2IyLTQxZjU4NTViYmRhMS8wMmE5ZmE5MC0zMzZjLTQ3OGUtYTRiOC0xNzY0OTI4ZDg5YzUuanBnIiwiYnJhbmQiOiJSRVNFTSIsImVkaXRzIjp7InJlc2l6ZSI6eyJ3aWR0aCI6MzU0LCJoZWlnaHQiOjI0MCwiZml0IjoiY292ZXIifX19,"La Armenia 1 Valle de Los Chillos Hermosa Casa NO AMOBLADA

220 m² Total
182 m² Cubierta
2 Baños
2 Estacionamientos
3 Habitaciones...",182,3,2,https://www.icasas.ec/propiedad/de98-9d38-3214777-41f5855bbe27-451d
