TITULO,PRECIO,IMAGEN,DESCRIPCION,AREA,HABITACIONES,LINK
Casa en venta,152,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","El Valle De Los Chillos, Quito, Ecuador, Rumiñahui, Pichincha ( Quito )",162 m² ,3 habs.,https://casa-villa.mercadolibre.com.ec/MEC-526527637-valle-de-los-chillos-a-5-min-del-colibri-urb-banco-de-fomento-hermosa-casa-por-estrenar-acabados-de-lujo-transporte-taxis-cc-san-luis-gestionamos-tu-credito-y-asesoria-gratuita-plusvalia-_JM#position=1&search_layout=grid&type=item&tracking_id=e2d3c5f8-b361-43fe-8179-4e3e1e5ac6aa
Casa en venta,179000,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","Urb, Parque Jardines De La Pampa, Quito, Ecuador, Quito, Pichincha ( Quito )",230 m² ,4 habs.,https://casa-villa.mercadolibre.com.ec/MEC-526968520-gran-oportunidad-venta-de-casa-_JM#position=2&search_layout=grid&type=item&tracking_id=e2d3c5f8-b361-43fe-8179-4e3e1e5ac6aa
Casa en venta,75000,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","Wladimir Lenin & Avenida Fernando Velasco, Quito, Ecuador, Quito, Pichincha ( Quito )",140 m² ,5 habs.,https://casa-villa.mercadolibre.com.ec/MEC-526521185-casa-duplex-de-oportunidad-_JM#position=3&search_layout=grid&type=item&tracking_id=e2d3c5f8-b361-43fe-8179-4e3e1e5ac6aa
Casa en venta,60000,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","Lotizacion Carmenses En Lucha  Km 34, El Carmen, Manabí",160 m² ,5 habs.,https://casa-villa.mercadolibre.com.ec/MEC-526728094-vendo-casa-grande-restaurada-_JM#position=4&search_layout=grid&type=item&tracking_id=e2d3c5f8-b361-43fe-8179-4e3e1e5ac6aa
Casa en venta,540000,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","Victor Emilio Estrada, Guayaquil, Ecuador, Guayaquil, Guayas",361 m² ,4 habs.,https://casa-villa.mercadolibre.com.ec/MEC-526547233-casa-en-venta-uso-de-suelo-comercial-av-ve-estrada-_JM#position=5&search_layout=grid&type=item&tracking_id=e2d3c5f8-b361-43fe-8179-4e3e1e5ac6aa
Casa en venta,71900,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","Jjfg+6c3, Via Pintag, Quito, Ecuador, Quito, Pichincha ( Quito )",90 m² ,3 habs.,https://casa-villa.mercadolibre.com.ec/MEC-524758770-casa-nueva-2pisos-urbanizacion-privada-el-cedron-de-pintag-_JM#position=6&search_layout=grid&type=item&tracking_id=e2d3c5f8-b361-43fe-8179-4e3e1e5ac6aa
Casa en venta,55000,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","Avenida Francisco De La Torre 4190, Quito, Ecuador, Quito, Pichincha ( Quito )",233 m² ,4 habs.,https://casa-villa.mercadolibre.com.ec/MEC-526059961-economica-casa-rentera-esquinera-con-dos-departamentos-_JM#position=7&search_layout=grid&type=item&tracking_id=e2d3c5f8-b361-43fe-8179-4e3e1e5ac6aa
Casa en venta,74990,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","C. Manuela Cañizares 23, Quito 170205, Ecuador, Quito, Pichincha ( Quito )",132 m² ,3 habs.,https://casa-villa.mercadolibre.com.ec/MEC-525272036-casa-de-tres-pisos-132-metros-cuadrados-con-estacionamiento-en-ciudad-bicentenario-_JM#position=8&search_layout=grid&type=item&tracking_id=e2d3c5f8-b361-43fe-8179-4e3e1e5ac6aa
Casa en venta,135000,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","Eden Del Valle No 2, Quito, Ecuador, Quito, Pichincha ( Quito )",242 m² ,7 habs.,https://casa-villa.mercadolibre.com.ec/MEC-527469001-casa-para-negocio-anticresis-alquiler-o-venta-en-la-ciudad-de-quito-_JM#position=9&search_layout=grid&type=item&tracking_id=e2d3c5f8-b361-43fe-8179-4e3e1e5ac6aa
Casa en venta,60000,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","Pgx6+jc7, Quito 170145, Ecuador, Quito, Pichincha ( Quito )",80 m² ,3 habs.,https://casa-villa.mercadolibre.com.ec/MEC-526066901-casa-en-venta-sector-puente-2-via-los-chillos-en-conjunto-_JM#position=10&search_layout=grid&type=item&tracking_id=e2d3c5f8-b361-43fe-8179-4e3e1e5ac6aa
Casa en venta,140000,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","Cumbayá, Quito, Ecuador, Quito, Pichincha ( Quito )",104 m² ,2 habs.,https://casa-villa.mercadolibre.com.ec/MEC-526312130-de-oportunidad-hermosa-casa-amueblada-en-san-juan-de-cumbaya-_JM#position=11&search_layout=grid&type=item&tracking_id=e2d3c5f8-b361-43fe-8179-4e3e1e5ac6aa
Casa en alquiler temporal,120,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","Q3h7+w7g, Salinas, Ecuador, Salinas, Santa Elena",450 m² ,4 habs.,https://casa-villa.mercadolibre.com.ec/MEC-524986197-salinas-casa-con-piscina-privada-al-pie-del-mar-_JM#position=12&search_layout=grid&type=item&tracking_id=e2d3c5f8-b361-43fe-8179-4e3e1e5ac6aa
